"normal_MS","progressive_MS","lesion1","lesion2","normal1","lesion3","normal2","..lesion4","normal3","normal4"
69,154,219,51,2,7,66,93,148,35
67,48,77,23,51,25,135,73,86,66
17,25,19,9,15,0,37,25,44,2
7,20,19,2,19,1,14,18,17,9
5,12,3,11,1,8,9,14,14,9
7,59,24,82,23,128,35,50,25,72
55,56,75,10,19,26,95,62,92,15
155,121,93,26,55,40,281,259,168,78
22,33,53,5,22,6,65,51,53,39
22,35,26,9,19,11,55,23,36,26
809,342,338,105,758,468,1081,888,816,777
55,88,79,41,89,71,128,143,139,71
210,148,112,40,88,111,414,283,243,141
3,5,3,5,12,14,4,7,0,3
33,12,28,1,15,11,44,24,30,14
1014,771,923,316,708,337,1224,967,1242,739
153,137,103,54,110,143,163,171,202,136
73,93,35,54,116,50,38,49,55,80
69,77,47,34,14,21,100,115,95,44
80,121,132,96,113,46,131,116,160,142
330,997,847,265,54,61,503,491,850,131
16,28,11,15,5,5,16,10,29,5
15,147,16,0,26,28,116,71,61,7
15,47,32,23,27,11,36,30,22,14
32,41,36,8,17,2,45,53,64,28
46,154,142,35,3,4,104,74,133,25
56,45,80,15,30,11,47,43,53,13
6,15,22,4,16,12,15,28,26,35
0,10,0,0,1,0,17,16,11,0
33,98,32,8,45,19,85,91,74,35
21,31,13,5,1,6,41,23,24,12
115,150,52,37,115,63,138,118,157,66
9,43,12,23,18,15,45,16,32,22
399,503,469,415,408,332,493,505,615,551
6,69,34,31,10,18,25,33,55,17
10,50,28,22,38,10,42,41,52,22
500,563,535,237,540,347,575,677,760,491
102,54,26,16,61,47,74,43,104,124
63,168,94,50,17,9,83,74,53,29
1,6,3,4,5,0,7,12,15,5
77,99,96,44,21,29,156,142,143,50
119,106,70,29,31,33,170,87,148,56
242,110,159,26,76,74,239,147,301,136
82,169,239,27,18,2,113,108,212,49
28,50,21,18,17,3,57,45,64,8
54,192,162,103,90,63,162,119,148,173
514,975,587,576,539,479,449,394,640,564
19,45,11,21,9,4,75,44,79,4
28,38,26,12,26,12,28,38,17,30
65,109,65,19,37,11,74,71,93,36
40,29,38,4,39,15,75,67,69,62
169,229,225,45,37,33,416,210,378,67
1408,444,294,621,467,700,779,625,655,989
